ano,fecha,entidad,clave_est,municipio,clave_municipal,cvegeo,colonia_o_comunidad,descripcion_geo,fosas,total_cuerpos,masculino,femenino,links
2017,2017-07-11,Guanajuato,11,Pénjamo,023,11023,Comunidad Purísima de Ramírez,A medio kilómetro de donde se encuentra la última casa de la comunidad con dirección a la comunidad de San Gabriel,1,1,NA,1,https://www.am.com.mx/noticias/Hallan-cadaver--de-mujer-en-fosa-20170711-0012.html
2017,2017-01-08,Guanajuato,11,Celaya,007,11007,Comunidad de El Puesto,"NA",1,5,3,2,https://www.youtube.com/watch?v=eptZlXqxbd8
2016,2016-12-06,Guanajuato,11,Cortázar,011,11011,El Salitre,"NA",1,1,1,NA,http://www.agoragto.com/noticias/nota-roja/tras-cinco-dias-desaparecido-hallan-muerto-a-joven/
2016,2016-12-05,Guanajuato,11,Celaya,007,11007,"NA","Predio aledaño al camino a la comunidad El Salitre, cerca del lugar conocido como Albercas Don Cruz",1,1,1,NA,https://periodicocorreo.com.mx/localizan-semienterrado-cuerpo-comerciante-del-barrio-san-miguel-celaya/
2016,2016-09-01,Guanajuato,11,Apaseo el Alto,004,11004,Santa Cruz de Gamboa,A unos 100 metros de la carretera que conduce de Gamboa a El Soldado,1,2,1,1,https://www.am.com.mx/noticias/Hallan-a-pareja-en-fosa-clandestina-en-Apaseo-el-Alto-20160831-0014.html
2016,2016-03-16,Guanajuato,11,Pénjamo,023,11023,"Entre las comunidades San Marcos y Potrerillos del Río, muy cerca de los límites con el estado de Michoacán","2 Km de Michoacán, cerca de las 2 fosas del 2015",1,1,1,NA,https://periodicocorreo.com.mx/localizan-una-fosa-clandestina/
2016,2016-02-29,Guanajuato,11,Pénjamo,023,11023,Colonia Granja Aurora,"Entre las calles Apaseo El Grande y Valle de Santiago, a pocos metros de la calle Villagrán",1,1,NA,NA,https://notus.com.mx/semi-enterrado-y-encobijado-en-predio-de-santa-ana-pacueco/
2016,2016-02-14,Guanajuato,11,Pénjamo,023,11023,"Churipitzeo, Km 53 de la carretera federal 90, entre Pénjamo y La Piedad","Rancho en municipio de Pénjamo, cerca de otro hallazgo de A. Martínez del 12-11-2015",1,2,NA,NA,http://www.agoragto.com/noticias/nota-roja/encuentran-dos-fosas-clandestinas-en-penjamo/
2016,2016-01-13,Guanajuato,11,Valle de Santiago,042,11042,"NA","Cráter de ""La Alberca""",1,1,NA,NA,https://zonafranca.mx/zfreporte/hallan-cuerpo-semidevorado-en-el-crater-de-la-alberca-en-valle-de-santiago/
2015,2015-11-12,Guanajuato,11,Pénjamo,023,11023,Churipitzeo,"Cerca de Km 53 de la carretera federal 90, entre Pénjamo y La Piedad",1,1,1,NA,https://periodicocorreo.com.mx/localizan-cadaver-en-fosa-clandestina/
2015,2015-06-23,Guanajuato,11,Pénjamo,023,11023,Comunidad San Ignacio de Álvarez,"Camino de San Ignacio de Álvarez a San Marcos (en la zona limítrofe con Michoacán) y, a 3 kilómetros de esta última",1,2,1,NA,https://periodicocorreo.com.mx/encuentran-restos-en-fosa-clandestina/
2014,2014-11-27,Guanajuato,11,Pénjamo,023,11023,Santa Ana Pacueco,"Calle Prolongación Abasolo entre las calles Prolongación Irapuato y Salamanca, justo a una cuadra del boulevard Padre Hidalgo",1,4,2,NA,https://www.youtube.com/watch?v=3XKo-9GwoJg
2014,2014-08-01,Guanajuato,11,León,020,11020,Santa Ana del Conde,"Finca de Rancho Nuevo (o ""Pueblo Nuevo"")",1,4,NA,4,https://periodicocorreo.com.mx/identifican-pgj-a-tres-de-las-cuatro-muertas-localizadas-en-rancho-nuevo/
2014,2014-02-04,Guanajuato,11,Salvatierra,028,11028,(La estancia de) San José del Carmen,Cerrito de Ponce,1,2,NA,NA,https://www.youtube.com/watch?v=0KU6SLk0e1E
2014,1905-07-06,Guanajuato,11,Apaseo el Grande,005,11005,"NA","NA",1,4,NA,NA,https://www.scribd.com/document/465027393/Fosas-seleccion-GTO-2009-2019-Fuentes-de-prensa-recortes
2014,1905-07-06,Guanajuato,11,Pénjamo,023,11023,"NA","NA",1,4,NA,NA,https://www.scribd.com/document/465027393/Fosas-seleccion-GTO-2009-2019-Fuentes-de-prensa-recortes
2012,1905-07-04,Guanajuato,11,Villagrán,044,11044,Colonia El Pintor,Empresa conticón,1,3,1,1,https://www.scribd.com/document/465027393/Fosas-seleccion-GTO-2009-2019-Fuentes-de-prensa-recortes
2011,1905-07-03,Guanajuato,11,Uriangato,041,11041,"NA","NA",1,1,NA,1,https://www.scribd.com/document/465027393/Fosas-seleccion-GTO-2009-2019-Fuentes-de-prensa-recortes
2011,1905-07-03,Guanajuato,11,San José Iturbide,032,11032,"NA","NA",1,2,2,NA,https://www.scribd.com/document/465027393/Fosas-seleccion-GTO-2009-2019-Fuentes-de-prensa-recortes
2010,2010-05-20,Guanajuato,11,Irapuato,017,11017,Comunidad San Javier,En una de tres fincas inspeccionadas,1,1,1,NA,https://webcache.googleusercontent.com/search?q=cache:LOspaiQX8lAJ:https://www.eldiariodecoahuila.com.mx/nacional/2010/5/20/caen-secuestradores-descubren-narcofosa-180109.html+&cd=10&hl=it&ct=clnk&gl=mx
2009,2009-07-01,Guanajuato,11,Apaseo el Alto,004,11004,"NA",Jardín de vivienda/casa de seguridad,1,14,NA,NA,https://elpais.com/internacional/2009/07/02/actualidad/1246485606_850215.html
2009,2009-06-05,Guanajuato,11,Moroleón,021,11021,"NA","NA",1,2,NA,NA,https://www.jornada.com.mx/2009/06/05/politica/011n1pol
